arm,case_id,stratum,period,answer,response_time_s
B0,P2402-1,version_sensitive,2024-02,"4000 · Revenue was $900,000 over budget (+6.0%) in 2024-02 for CC-2100. Commentary required: True.",0.0
B0,P2402-2,immaterial,2024-02,(no commentary produced; immaterial),0.0
B0,P2402-3,evidence_less,2024-02,"5000 · Cost of Goods Sold was $745,000 over budget (+7.9%) in 2024-02 for CC-3100. Commentary required: True.",0.0
B0,P2405-1,documented,2024-05,"6500 · R&D Operating Expense was $281,000 over budget (+41.6%) in 2024-05 for CC-5100. Commentary required: True.",0.0
B0,P2405-2,immaterial,2024-05,(no commentary produced; immaterial),0.0
B0,P2405-3,evidence_less,2024-05,"6100 · Legal & Professional was $371,000 over budget (+58.6%) in 2024-05 for CC-6100. Commentary required: True.",0.0
B0,P2409-1,evidence_less,2024-09,"6100 · Legal & Professional was $2,400,000 over budget (+379.1%) in 2024-09 for CC-6100. Commentary required: True.",0.0
B0,P2409-2,immaterial,2024-09,(no commentary produced; immaterial),0.0
B0,P2409-3,evidence_less,2024-09,"6300 · Distribution Expense was $345,000 over budget (+32.9%) in 2024-09 for CC-3100. Commentary required: True.",0.0
B0,P2412-1,documented,2024-12,"4000 · Revenue was $405,000 under budget (-9.0%) in 2024-12 for CC-2100. Commentary required: True.",0.0
B0,P2412-2,immaterial,2024-12,(no commentary produced; immaterial),0.0
B0,P2503-1,covenant,2025-03,"7000 · Interest Expense was $104,000 over budget (+10.0%) in 2025-03 for CC-6100. Commentary required: True.",0.0
B0,P2503-2,immaterial,2025-03,(no commentary produced; immaterial),0.0
B0,P2506-1,evidence_less,2025-06,"5000 · Cost of Goods Sold was $680,000 under budget (-7.3%) in 2025-06 for CC-3100. Commentary required: True.",0.0
B0,P2506-2,immaterial,2025-06,(no commentary produced; immaterial),0.0
B0,P2508-1,documented,2025-08,"4000 · Revenue was $620,000 over budget (+27.6%) in 2025-08 for CC-2100. Commentary required: True.",0.0
B0,P2508-2,immaterial,2025-08,(no commentary produced; immaterial),0.0
B0,P2510-1,documented,2025-10,"5000 · Cost of Goods Sold was $1,800,000 over budget (+19.2%) in 2025-10 for CC-3100. Commentary required: True.",0.0
B0,P2510-2,immaterial,2025-10,(no commentary produced; immaterial),0.0
B0,P2510-3,evidence_less,2025-10,"6100 · Legal & Professional was $517,000 over budget (+81.7%) in 2025-10 for CC-6100. Commentary required: True.",0.0
B1,P2402-1,version_sensitive,2024-02,"Revenue up $900K (+6.0%) due to price increases, with no volume or mix changes.  

*Cause: The full variance stems from a positive price effect of $900K, indicating higher pricing across products, likely driven by strategic pricing adjustments or market demand. No volume or mix shifts suggest demand stability, with pricing as the primary driver.*",1.08
B1,P2402-2,immaterial,2024-02,(no commentary produced; immaterial),0.0
B1,P2402-3,evidence_less,2024-02,Actual COGS $745K higher (7.9%) than budget—likely due to rising raw material costs and increased production inefficiencies.,0.54
B1,P2405-1,documented,2024-05,Actual R&D expense $281K (+41.6%) vs budget — a significant variance likely caused by unplanned lab expansion or increased personnel costs.,0.57
B1,P2405-2,immaterial,2024-05,(no commentary produced; immaterial),0.0
B1,P2405-3,evidence_less,2024-05,"Actual $1.0M vs. Budget $633K (+$371K, +58.6%) — likely caused by increased legal fees from new compliance initiatives and litigation costs.",0.66
B1,P2409-1,evidence_less,2024-09,"Actual $3.0M vs. Budget $633K (+$2.4M, +379.1%); likely cause: one-time legal fees or audit costs not accounted for in budget.",0.71
B1,P2409-2,immaterial,2024-09,(no commentary produced; immaterial),0.0
B1,P2409-3,evidence_less,2024-09,Distribution expenses $345K (+32.9%) vs budget—likely due to higher freight costs and increased logistics demand in Q3.,0.54
B1,P2412-1,documented,2024-12,"Revenue $405K below budget (-9.0%), driven by price reductions.  
Most likely cause: Significant price cuts across EMEA products to boost volume, reducing revenue despite no volume or mix changes.",0.68
B1,P2412-2,immaterial,2024-12,(no commentary produced; immaterial),0.0
B1,P2503-1,covenant,2025-03,Interest Expense $104K (+10.0%) vs budget—driven by higher borrowing costs due to elevated loan rates in the period.,0.55
B1,P2503-2,immaterial,2025-03,(no commentary produced; immaterial),0.0
B1,P2506-1,evidence_less,2025-06,$680K (7.3%) below budget – likely due to lower-than-expected raw material prices and reduced production volumes.,0.51
B1,P2506-2,immaterial,2025-06,(no commentary produced; immaterial),0.0
B1,P2508-1,documented,2025-08,"Revenue up $620K (+27.6%) due to higher aftermarket parts volume—driven by strong sales volume, not price or mix changes.",0.58
B1,P2508-2,immaterial,2025-08,(no commentary produced; immaterial),0.0
B1,P2510-1,documented,2025-10,"Actual COGS $18M (+19.2%) vs budget — $1.8M over budget, driven by higher raw material costs and supply chain delays.",0.6
B1,P2510-2,immaterial,2025-10,(no commentary produced; immaterial),0.0
