arm,case_id,stratum,period,account,variance_usd,commentary_required,gold_doc,retrieval_hit,numeric_fidelity,unmatched_figures,abstained,response_time_s,prompt_chars,gate_passed,gate_reason,answer,outcome,metric
B0,P2402-1,version_sensitive,2024-02,4000 · Revenue,900000,True,D14,,True,,False,0.0,0,,,"4000 · Revenue was $900,000 over budget (+6.0%) in 2024-02 for CC-2100. Commentary required: True.",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B0,P2402-2,immaterial,2024-02,6200 · Marketing Operating Expense,-4000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2402-3,evidence_less,2024-02,5000 · Cost of Goods Sold,745000,True,,,True,,False,0.0,0,,,"5000 · Cost of Goods Sold was $745,000 over budget (+7.9%) in 2024-02 for CC-3100. Commentary required: True.",FAIL,Abstention correctness
B0,P2405-1,documented,2024-05,6500 · R&D Operating Expense,281000,True,D15,,True,,False,0.0,0,,,"6500 · R&D Operating Expense was $281,000 over budget (+41.6%) in 2024-05 for CC-5100. Commentary required: True.",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B0,P2405-2,immaterial,2024-05,6200 · Marketing Operating Expense,14000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2405-3,evidence_less,2024-05,6100 · Legal & Professional,371000,True,,,True,,False,0.0,0,,,"6100 · Legal & Professional was $371,000 over budget (+58.6%) in 2024-05 for CC-6100. Commentary required: True.",FAIL,Abstention correctness
B0,P2409-1,evidence_less,2024-09,6100 · Legal & Professional,2400000,True,,,True,,False,0.0,0,,,"6100 · Legal & Professional was $2,400,000 over budget (+379.1%) in 2024-09 for CC-6100. Commentary required: True.",FAIL,Abstention correctness
B0,P2409-2,immaterial,2024-09,6200 · Marketing Operating Expense,5000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2409-3,evidence_less,2024-09,6300 · Distribution Expense,345000,True,,,True,,False,0.0,0,,,"6300 · Distribution Expense was $345,000 over budget (+32.9%) in 2024-09 for CC-3100. Commentary required: True.",FAIL,Abstention correctness
B0,P2412-1,documented,2024-12,4000 · Revenue,-405000,True,D16,,True,,False,0.0,0,,,"4000 · Revenue was $405,000 under budget (-9.0%) in 2024-12 for CC-2100. Commentary required: True.",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B0,P2412-2,immaterial,2024-12,6200 · Marketing Operating Expense,9000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2503-1,covenant,2025-03,7000 · Interest Expense,104000,True,D17,,True,,False,0.0,0,,,"7000 · Interest Expense was $104,000 over budget (+10.0%) in 2025-03 for CC-6100. Commentary required: True.",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B0,P2503-2,immaterial,2025-03,6200 · Marketing Operating Expense,2000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2506-1,evidence_less,2025-06,5000 · Cost of Goods Sold,-680000,True,,,True,,False,0.0,0,,,"5000 · Cost of Goods Sold was $680,000 under budget (-7.3%) in 2025-06 for CC-3100. Commentary required: True.",FAIL,Abstention correctness
B0,P2506-2,immaterial,2025-06,6500 · R&D Operating Expense,6000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2508-1,documented,2025-08,4000 · Revenue,620000,True,D18,,True,,False,0.0,0,,,"4000 · Revenue was $620,000 over budget (+27.6%) in 2025-08 for CC-2100. Commentary required: True.",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B0,P2508-2,immaterial,2025-08,6200 · Marketing Operating Expense,7000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2510-1,documented,2025-10,5000 · Cost of Goods Sold,1800000,True,D19,,True,,False,0.0,0,,,"5000 · Cost of Goods Sold was $1,800,000 over budget (+19.2%) in 2025-10 for CC-3100. Commentary required: True.",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B0,P2510-2,immaterial,2025-10,6200 · Marketing Operating Expense,4000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B0,P2510-3,evidence_less,2025-10,6100 · Legal & Professional,517000,True,,,True,,False,0.0,0,,,"6100 · Legal & Professional was $517,000 over budget (+81.7%) in 2025-10 for CC-6100. Commentary required: True.",FAIL,Abstention correctness
B1,P2402-1,version_sensitive,2024-02,4000 · Revenue,900000,True,D14,,True,,False,1.08,549,,,"Revenue up $900K (+6.0%) due to price increases, with no volume or mix changes.  

*Cause: The full variance stems from a positive price effect of $900K, indicating higher pricing across products, likely driven by strategic pricing adjustments or market demand. No volume or mix shifts suggest demand stability, with pricing as the primary driver.*",numeric=PASS,Retrieval hit @3 / Numeric fidelity
B1,P2402-2,immaterial,2024-02,6200 · Marketing Operating Expense,-4000,False,,,True,,False,0.0,0,,,(no commentary produced; immaterial),PASS,Policy compliance
B1,P2402-3,evidence_less,2024-02,5000 · Cost of Goods Sold,745000,True,,,True,,False,0.54,507,,,Actual COGS $745K higher (7.9%) than budget—likely due to rising raw material costs and increased production inefficiencies.,FAIL,Abstention correctness
